audiomoth_id,human_readable_name,latitude,longitude,location
2453AC0263FA64B4,AudioMoth01,51.908694,4.432167,Keilehaven garden plots
249C600363FAD0D4,AudioMoth02,51.903250,4.440833,Keilehaven control
249C600363FAD157,AudioMoth03,51.903500,4.494722,Rijnhaven
24F5F20264F35344,AudioMoth04,51.909889, 4.494472,Rijnhaven control
24F3190863FAD0D4,AudioMoth05,51.903722,4.530833,De Esch
243B1F0663FAD0E1,AudioMoth06,51.903833,4.526389,De Esch
245AAA0563FA6465,AudioMoth07,51.989778, 4.572889,Eendragtspolder replacement no 10
242A260463FAD172,AudioMoth08,51.997500,4.588028,Eendragtspolder
242A260463FAD130,AudioMoth09,51.993222,4.574833,Eendragtspolder
24F3190863FAD0EE,AudioMoth10,51.989778,4.572889,Eendragtspolder
2453AC0263FA648C,AudioMoth11,51.8987000,4.5337000,Eiland van Brienenoord
